code;name;unit;location;activity type;reference product;database;production amount;material_group;ISIC;CPC
7dafa3b6f3e086a72d03ea0553817b22;market for electricity, low voltage;kilowatt hour;CH;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
82f9683ac25c7729d761e98683eb94b7;market for electricity, low voltage;kilowatt hour;RO;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
8084fb01f1600a15f81180d68b394653;market for electricity, low voltage;kilowatt hour;NZ;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
e6f643aa2512321eef520e984dd98dc5;market for electricity, high voltage;kilowatt hour;TM;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1fb2ff890e76f51f4f812a5f4cb8d039;market for electricity, high voltage;kilowatt hour;CA-NF;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
67efb6d43d6368b59da2de157c5cbb7f;market for electricity, medium voltage;kilowatt hour;EC;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
71e9abd73e51d41bd6ac12120be17dc7;market for electricity, low voltage;kilowatt hour;JO;market activity;electricity, low voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
225a9aa44cca672247ea605054c56158;market for electricity, medium voltage;kilowatt hour;PY;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
81225f69fe222dfd59758a407e9746af;market for electricity, high voltage;kilowatt hour;KZ;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
6025dc22bf3b2cf7cae9014be74dc639;market for electricity, medium voltage;kilowatt hour;CN-ECGC;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
24132b94235ca1f3c6f4d439f5660b3b;market for electricity, high voltage;kilowatt hour;LV;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
2227a9f3dc16e5fce64d7f88281e9d39;market for petroleum;kilogram;Europe without Switzerland;market activity;petroleum;apos391;1.0;petroleum;4661:Wholesale of solid, liquid and gaseous fuels and related products;12010: Petroleum oils and oils obtained from bituminous minerals, crude
988a0af979304494eb8db5faa0a2b483;market for petroleum;kilogram;RNA;market activity;petroleum;apos391;1.0;petroleum;4661:Wholesale of solid, liquid and gaseous fuels and related products;12010: Petroleum oils and oils obtained from bituminous minerals, crude
f6aaecdf6908bf0a0aaff7544eb5cf5a;market for electricity, high voltage;kilowatt hour;SK;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
4f252656eb5e9b84d4815f3c8aad66ae;market for electricity, high voltage;kilowatt hour;RS;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
59ea7ab1c5892c09f5d9807eb84300b0;market for electricity, medium voltage;kilowatt hour;BD;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
907ed23e9ca5f71eb05c67864a7e0855;market for electricity, medium voltage;kilowatt hour;MN;market activity;electricity, medium voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
74928c2ee4e243d9df14ca1db6e92f96;market for electricity, high voltage;kilowatt hour;BO;market activity;electricity, high voltage;apos391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
