code;name;unit;location;activity type;reference product;database;production amount;material_group;ISIC;CPC
73bb56e9c55c9a07cbd769685b792e02;market for electricity, low voltage;kilowatt hour;HK;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
8a81a9dcbda984a8f72da9c23bbea27b;market for electricity, high voltage;kilowatt hour;XK;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
8f0133055befa76cadacfdac96239ef7;market for electricity, high voltage;kilowatt hour;MY;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
bb84e4a1fb20f0679673ae2cb15a054c;market for electricity, low voltage;kilowatt hour;BG;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
5eb6bd369fbcdf420d0f39a577ad984e;market for electricity, high voltage;kilowatt hour;FR;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
a3cf4c44a7761652e3a2f512f1578431;market for water, decarbonised;kilogram;CN;market activity;water, decarbonised;con391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
f4afe468c7f10fd6e0f4da1e6d6ca6a6;market for silver;kilogram;GLO;market activity;silver;con391;1.0;silver;0729:Mining of other non-ferrous metal ores;41310: Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder […]
afa973bdadb582e4cae27787ad135171;market for electricity, high voltage;kilowatt hour;US-MRO;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
b4ce0c8c671edc06f05cae2a66b71b02;market for electricity, medium voltage;kilowatt hour;NO;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
6911239cbeb3a0f6774dfba133b4d4f3;market for water, completely softened;kilogram;RER;market activity;water, completely softened;con391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
fa7ef2694b1805abbc659662bf50dd0f;market for electricity, high voltage;kilowatt hour;BR-North-eastern grid;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
3080d52097b6a359623c6abd89a771af;market for electricity, low voltage;kilowatt hour;PA;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ffdbe99906c9dc5b7f0846d8b2089d57;market for electricity, medium voltage;kilowatt hour;LT;market activity;electricity, medium voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
8c6b2ada8ad5fc35b5c27e4ed69adc4f;market for calcium borates;kilogram;GLO;market activity;calcium borates;con391;1.0;borates;0891:Mining of chemical and fertilizer minerals;346: Fertilizers and pesticides
fd83ec7217f59108c5385e6c5cacd383;market for tap water;kilogram;ZA;market activity;tap water;con391;1.0;water;3600:Water collection, treatment and supply;18000: Natural water
240e9fd4b821563192bd86051442e014;market for electricity, low voltage;kilowatt hour;SN;market activity;electricity, low voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
189432450227fa8e793d1d5522f2e682;market for electricity, high voltage;kilowatt hour;SG;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
d09c3f44e7919382ec2ae88952cb3463;market for electricity, high voltage;kilowatt hour;ZA;market activity;electricity, high voltage;con391;1.0;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
