code;name;unit;location;reference product;database;material_group;ISIC;CPC
e9fb344e05b371d6652480f29b2fadc0;market for natural gas, high pressure;cubic meter;DK;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
e92569a9c76900b1e3f270eeac725bb5;market for natural gas, low pressure;cubic meter;DE;natural gas, low pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";69120: Gas distribution through mains (on own account)
d07749054dcc8da546084b63f07ff7cc;market for tap water;kilogram;CO;tap water;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;water;3600:Water collection, treatment and supply;18000: Natural water
1df7aad9fc180c144b0950748ebe90be;market for silicon, solar grade;kilogram;GLO;silicon, solar grade;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;silicon;2011:Manufacture of basic chemicals;342: Basic inorganic chemicals n.e.c.
4a61290db042f90ac7e28c9428ccd272;market for calcium borates;kilogram;GLO;calcium borates;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;borates;0891:Mining of chemical and fertilizer minerals;346: Fertilizers and pesticides
d388850e892946f890e067830d426a1b;market for natural gas, high pressure;cubic meter;USA;natural gas, high pressure;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;natural gas;"3520:Manufacture of gas; distribution of gaseous fuels through mains";12020: Natural gas, liquefied or in the gaseous state
3d7aa59503f5aa810898660622c7759e;market for tap water;kilogram;IN;tap water;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;water;3600:Water collection, treatment and supply;18000: Natural water
bf86ce8df62b9874946278b1fe540515;market for cement, unspecified;kilogram;CA-QC;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
491549b2f0cee302298eaf61bdce8ae0;market for beryllium;kilogram;GLO;beryllium;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;beryllium;242:Manufacture of basic precious and other non-ferrous metals;41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]
612a9183c7bac2685fb87a699974c8aa;market for helium;kilogram;GLO;helium;ecoinvent_cutoff_3.9_remind_SSP1-Base_2020;helium;2011:Manufacture of basic chemicals;"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]"
