code;name;unit;location;reference product;database;production amount;material_group;ISIC;CPC
03fcf73c42b41c86d73fd8568a4fcb75;market for electricity, low voltage;kilowatt hour;BW;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ad6b088e30cefbcc08e38fa0828a3e83;market for electricity, high voltage;kilowatt hour;AO;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
3e30c3faf44cedb720e45de628f4ece8;market for bauxite;kilogram;GLO;bauxite;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;bauxite;0729:Mining of other non-ferrous metal ores;14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
fa125a52a7c1273d4ec5acdb07f20595;market for electricity, low voltage;kilowatt hour;SG;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
b9e29bfda0ef60749e76d170f3a2bcbb;market for electricity, low voltage;kilowatt hour;CN-CSG;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
a23ff5a5512f239248b86d5706a7c4e4;market for latex;kilogram;RoW;latex;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;latex;2013:Manufacture of plastics and synthetic rubber in primary forms;"34790: Other plastics in primary forms; ion exchangers"
e8c3e752148188d7622825cdb3658a85;market for electricity, high voltage;kilowatt hour;HR;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1b9b656f67e6e4f5ae79fdb57cfd344b;market for electricity, medium voltage;kilowatt hour;IR;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
04d3eee83480d05b56981e1695f232aa;market for electricity, high voltage;kilowatt hour;ZW;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
9872d5c0f71c7f2704ad28f0261b0205;market for electricity, medium voltage;kilowatt hour;CA-AB;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
66baa28cd0b209ceeff69c29325ea3d4;market for electricity, medium voltage;kilowatt hour;RS;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
1b15f4534452407f89cd09c79445b2af;market for cement, unspecified;kilogram;REF;cement, unspecified;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;cement;2394:Manufacture of cement, lime and plaster;374: Plaster, lime and cement
683c871038aaa454a18c4f913eef655c;market for silicon, single crystal, Czochralski process, photovoltaics;kilogram;RER;silicon, single crystal, Czochralski process, photovoltaics;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;silicon;2011:Manufacture of basic chemicals;34: Basic chemicals
f1cf30433a2d8c5304905eaad2a742b5;market for electricity, high voltage;kilowatt hour;KG;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
edd119ef8a084f679ac22ae6cb88065e;market for electricity, low voltage;kilowatt hour;CI;electricity, low voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
22e3e60d3bcd40ec34db8407408e1e31;market for electricity, high voltage;kilowatt hour;PH;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
7a066d5d8afabf55d46ef6c7c618d64a;market for sand;kilogram;CH;sand;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;sand;0810:Quarrying of stone, sand and clay;15310: Natural sands
eecf0c77baa9395013facc2264e951d6;market for electricity, high voltage;kilowatt hour;CA-BC;electricity, high voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
ea3bc735a7109dd0864a476c7ad2d890;market for electricity, medium voltage;kilowatt hour;SY;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
f051f3bc39e7133aa656d39cc9119b5a;market for electricity, medium voltage;kilowatt hour;CA-YK;electricity, medium voltage;ecoinvent_cutoff_3.9_remind_SSP5-Base_2030;;electricity;3510:Electric power generation, transmission and distribution;17100: Electrical energy
