('12/12/2023, 00:41:01', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_natural gas', 'additions', 2897, 'duration:', '0:10:39.001085')
('12/12/2023, 00:41:23', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_nickel', 'additions', 434, 'duration:', '0:11:00.274671')
('12/12/2023, 00:41:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_palladium', 'additions', 35, 'duration:', '0:11:02.126882')
('12/12/2023, 00:41:45', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_petroleum', 'additions', 507, 'duration:', '0:11:22.795462')
('12/12/2023, 00:41:53', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_phosphate rock', 'additions', 207, 'duration:', '0:11:30.321922')
('12/12/2023, 00:41:57', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_platinum', 'additions', 169, 'duration:', '0:11:34.662298')
('12/12/2023, 00:41:58', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_rare earth', 'additions', 37, 'duration:', '0:11:35.639548')
('12/12/2023, 00:41:58', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_rhodium', 'additions', 11, 'duration:', '0:11:35.913747')
('12/12/2023, 00:42:14', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_sand', 'additions', 609, 'duration:', '0:11:51.407727')
('12/12/2023, 00:42:14', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_scandium', 'additions', 1, 'duration:', '0:11:51.434748')
('12/12/2023, 00:42:14', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_selenium', 'additions', 9, 'duration:', '0:11:51.675747')
('12/12/2023, 00:42:23', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_silicon', 'additions', 377, 'duration:', '0:12:00.589778')
('12/12/2023, 00:42:24', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_silver', 'additions', 50, 'duration:', '0:12:01.801593')
('12/12/2023, 00:42:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_strontium', 'additions', 28, 'duration:', '0:12:02.477420')
('12/12/2023, 00:42:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_tantalum', 'additions', 3, 'duration:', '0:12:02.558092')
('12/12/2023, 00:42:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_tellurium', 'additions', 2, 'duration:', '0:12:02.614412')
('12/12/2023, 00:42:28', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_tin', 'additions', 124, 'duration:', '0:12:05.304942')
('12/12/2023, 00:42:38', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_titanium', 'additions', 457, 'duration:', '0:12:15.719390')
('12/12/2023, 00:42:38', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_tungsten', 'additions', 5, 'duration:', '0:12:15.811017')
('12/12/2023, 00:42:41', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_uranium', 'additions', 140, 'duration:', '0:12:18.368986')
('12/12/2023, 00:42:42', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_vegetable oil', 'additions', 37, 'duration:', '0:12:19.328775')
('12/12/2023, 00:46:17', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_water', 'additions', 11875, 'duration:', '0:15:55.043837')
('12/12/2023, 00:46:29', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_zinc', 'additions', 667, 'duration:', '0:16:06.383665')
('12/12/2023, 00:46:29', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'MaterialFootprint_zirconium', 'additions', 11, 'duration:', '0:16:06.561026')
('12/12/2023, 00:46:30', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'WasteFootprint_carbondioxide-kilogram', 'additions', 81, 'duration:', '0:16:07.904597')
('12/12/2023, 00:46:31', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'WasteFootprint_composting-kilogram', 'additions', 26, 'duration:', '0:16:08.348847')
('12/12/2023, 00:46:31', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'WasteFootprint_digestion-cubicmeter', 'additions', 16, 'duration:', '0:16:08.625248')
('12/12/2023, 00:46:31', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'WasteFootprint_digestion-kilogram', 'additions', 4, 'duration:', '0:16:08.688136')
('12/12/2023, 00:46:39', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'WasteFootprint_hazardous-cubicmeter', 'additions', 461, 'duration:', '0:16:16.530522')
('12/12/2023, 00:47:17', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'WasteFootprint_hazardous-kilogram', 'additions', 2228, 'duration:', '0:16:54.159529')
('12/12/2023, 00:47:17', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'WasteFootprint_incineration-cubicmeter', 'additions', 2, 'duration:', '0:16:54.192879')
('12/12/2023, 00:48:06', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'WasteFootprint_incineration-kilogram', 'additions', 2898, 'duration:', '0:17:43.299264')
('12/12/2023, 00:48:06', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'WasteFootprint_landfill-cubicmeter', 'additions', 2, 'duration:', '0:17:43.328023')
('12/12/2023, 00:48:35', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'WasteFootprint_landfill-kilogram', 'additions', 1728, 'duration:', '0:18:12.526654')
('12/12/2023, 00:48:44', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'WasteFootprint_openburning-kilogram', 'additions', 535, 'duration:', '0:18:21.402455')
('12/12/2023, 00:48:46', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'WasteFootprint_recycling-kilogram', 'additions', 150, 'duration:', '0:18:23.967212')
('12/12/2023, 00:50:08', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'WasteFootprint_total-cubicmeter', 'additions', 4868, 'duration:', '0:19:46.061747')
('12/12/2023, 00:59:08', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2025', 'WasteFootprint_total-kilogram', 'additions', 31900, 'duration:', '0:28:45.615070')
('12/12/2023, 00:59:21', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030', 'MaterialFootprint_antimony', 'additions', 27, 'duration:', '0:00:00.585936')
('12/12/2023, 00:59:22', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030', 'MaterialFootprint_bauxite', 'additions', 28, 'duration:', '0:00:01.202057')
('12/12/2023, 00:59:22', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030', 'MaterialFootprint_beryllium', 'additions', 1, 'duration:', '0:00:01.225856')
('12/12/2023, 00:59:22', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030', 'MaterialFootprint_borates', 'additions', 15, 'duration:', '0:00:01.565490')
('12/12/2023, 00:59:23', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030', 'MaterialFootprint_cadmium', 'additions', 17, 'duration:', '0:00:01.943174')
('12/12/2023, 00:59:55', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030', 'MaterialFootprint_cement', 'additions', 1540, 'duration:', '0:00:34.248504')
('12/12/2023, 00:59:55', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030', 'MaterialFootprint_cerium', 'additions', 3, 'duration:', '0:00:34.313704')
('12/12/2023, 01:00:04', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030', 'MaterialFootprint_chromium', 'additions', 473, 'duration:', '0:00:42.952060')
('12/12/2023, 01:00:07', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030', 'MaterialFootprint_coal', 'additions', 146, 'duration:', '0:00:45.975958')
('12/12/2023, 01:00:10', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030', 'MaterialFootprint_cobalt', 'additions', 166, 'duration:', '0:00:49.346408')
('12/12/2023, 01:00:12', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030', 'MaterialFootprint_coke', 'additions', 110, 'duration:', '0:00:51.547176')
('12/12/2023, 01:00:37', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030', 'MaterialFootprint_copper', 'additions', 1237, 'duration:', '0:01:15.760275')
('12/12/2023, 01:00:37', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030', 'MaterialFootprint_dysprosium', 'additions', 1, 'duration:', '0:01:15.782811')
('12/12/2023, 01:07:23', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030', 'MaterialFootprint_electricity', 'additions', 23936, 'duration:', '0:08:02.466549')
('12/12/2023, 01:07:23', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2030', 'MaterialFootprint_erbium', 'additions', 1, 'duration:', '0:08:02.490359')
