('12/13/2023, 17:02:50', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_phosphate rock', 'additions', 207, 'duration:', '0:10:03.042046')
('12/13/2023, 17:02:53', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_platinum', 'additions', 169, 'duration:', '0:10:06.024460')
('12/13/2023, 17:02:54', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_rare earth', 'additions', 37, 'duration:', '0:10:06.677552')
('12/13/2023, 17:02:54', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_rhodium', 'additions', 11, 'duration:', '0:10:06.865529')
('12/13/2023, 17:03:04', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_sand', 'additions', 609, 'duration:', '0:10:17.105223')
('12/13/2023, 17:03:04', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_scandium', 'additions', 1, 'duration:', '0:10:17.122609')
('12/13/2023, 17:03:04', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_selenium', 'additions', 9, 'duration:', '0:10:17.277285')
('12/13/2023, 17:03:11', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_silicon', 'additions', 377, 'duration:', '0:10:23.763277')
('12/13/2023, 17:03:12', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_silver', 'additions', 50, 'duration:', '0:10:24.638139')
('12/13/2023, 17:03:12', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_strontium', 'additions', 28, 'duration:', '0:10:25.134935')
('12/13/2023, 17:03:12', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_tantalum', 'additions', 3, 'duration:', '0:10:25.189225')
('12/13/2023, 17:03:12', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_tellurium', 'additions', 2, 'duration:', '0:10:25.222111')
('12/13/2023, 17:03:14', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_tin', 'additions', 124, 'duration:', '0:10:27.375305')
('12/13/2023, 17:03:22', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_titanium', 'additions', 457, 'duration:', '0:10:35.031190')
('12/13/2023, 17:03:22', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_tungsten', 'additions', 5, 'duration:', '0:10:35.116065')
('12/13/2023, 17:03:24', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_uranium', 'additions', 140, 'duration:', '0:10:37.437946')
('12/13/2023, 17:03:25', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_vegetable oil', 'additions', 37, 'duration:', '0:10:38.140545')
('12/13/2023, 17:06:50', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_water', 'additions', 11860, 'duration:', '0:14:02.781543')
('12/13/2023, 17:07:02', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_zinc', 'additions', 667, 'duration:', '0:14:14.688746')
('12/13/2023, 17:07:02', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'MaterialFootprint_zirconium', 'additions', 11, 'duration:', '0:14:14.879399')
('12/13/2023, 17:07:27', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'WasteFootprint_carbondioxide-kilogram', 'additions', 1415, 'duration:', '0:14:39.749606')
('12/13/2023, 17:07:27', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'WasteFootprint_composting-kilogram', 'additions', 26, 'duration:', '0:14:40.199262')
('12/13/2023, 17:07:27', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'WasteFootprint_digestion-cubicmeter', 'additions', 16, 'duration:', '0:14:40.476710')
('12/13/2023, 17:07:28', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'WasteFootprint_digestion-kilogram', 'additions', 4, 'duration:', '0:14:40.539329')
('12/13/2023, 17:07:36', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'WasteFootprint_hazardous-cubicmeter', 'additions', 461, 'duration:', '0:14:48.755681')
('12/13/2023, 17:08:14', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'WasteFootprint_hazardous-kilogram', 'additions', 2228, 'duration:', '0:15:27.061890')
('12/13/2023, 17:08:14', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'WasteFootprint_incineration-cubicmeter', 'additions', 2, 'duration:', '0:15:27.101278')
('12/13/2023, 17:09:05', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'WasteFootprint_incineration-kilogram', 'additions', 2898, 'duration:', '0:16:17.534425')
('12/13/2023, 17:09:05', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'WasteFootprint_landfill-cubicmeter', 'additions', 2, 'duration:', '0:16:17.567697')
('12/13/2023, 17:09:35', 'ecoinvent_cutoff_3.9_remind_SSP2-Base_2020', 'WasteFootprint_landfill-kilogram', 'additions', 1728, 'duration:', '0:16:47.950427')
