('03/10/2024, 00:49:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_aluminium', 'additions', 1926, 'duration:', '0:00:28.958113')
('03/10/2024, 00:49:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_antimony', 'additions', 26, 'duration:', '0:00:29.272182')
('03/10/2024, 00:49:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_bauxite', 'additions', 24, 'duration:', '0:00:29.556024')
('03/10/2024, 00:49:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_beryllium', 'additions', 1, 'duration:', '0:00:29.567107')
('03/10/2024, 00:49:26', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_borates', 'additions', 15, 'duration:', '0:00:29.769874')
('03/10/2024, 00:49:26', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_cadmium', 'additions', 17, 'duration:', '0:00:29.984602')
('03/10/2024, 00:49:56', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_cement', 'additions', 2598, 'duration:', '0:01:00.100577')
('03/10/2024, 00:49:56', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_cerium', 'additions', 3, 'duration:', '0:01:00.132696')
('03/10/2024, 00:50:01', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_chromium', 'additions', 425, 'duration:', '0:01:04.952586')
('03/10/2024, 00:50:19', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_coal(black)', 'additions', 1573, 'duration:', '0:01:22.793582')
('03/10/2024, 00:50:25', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_coal(brown)', 'additions', 508, 'duration:', '0:01:29.039494')
('03/10/2024, 00:50:27', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_cobalt', 'additions', 166, 'duration:', '0:01:30.880139')
('03/10/2024, 00:50:27', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_coke', 'additions', 71, 'duration:', '0:01:31.656625')
('03/10/2024, 00:50:40', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_copper', 'additions', 1065, 'duration:', '0:01:43.747961')
('03/10/2024, 00:50:40', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_dysprosium', 'additions', 1, 'duration:', '0:01:43.762972')
('03/10/2024, 00:56:51', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_electricity', 'additions', 24074, 'duration:', '0:07:55.176177')
('03/10/2024, 00:56:51', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_erbium', 'additions', 1, 'duration:', '0:07:55.193409')
('03/10/2024, 00:56:51', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_europium', 'additions', 1, 'duration:', '0:07:55.210028')
('03/10/2024, 00:56:51', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_fluorspar', 'additions', 22, 'duration:', '0:07:55.581524')
('03/10/2024, 00:56:51', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_gadolinium', 'additions', 1, 'duration:', '0:07:55.597936')
('03/10/2024, 00:56:51', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_gallium', 'additions', 4, 'duration:', '0:07:55.662923')
('03/10/2024, 00:56:52', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_gold', 'additions', 10, 'duration:', '0:07:55.830490')
('03/10/2024, 00:56:52', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_graphite', 'additions', 33, 'duration:', '0:07:56.382652')
('03/10/2024, 00:56:53', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_helium', 'additions', 46, 'duration:', '0:07:57.160909')
('03/10/2024, 00:56:53', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_holmium', 'additions', 1, 'duration:', '0:07:57.178056')
('03/10/2024, 00:56:59', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_hydrogen', 'additions', 391, 'duration:', '0:08:03.541467')
('03/10/2024, 00:57:00', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_indium', 'additions', 13, 'duration:', '0:08:03.758848')
('03/10/2024, 00:57:00', 'ecoinvent_cutoff_3.9_remind_SSP2-PkBudg500_2065', 'MaterialFootprint_latex', 'additions', 50, 'duration:', '0:08:04.584999')
