0;1;2;tuple
Material Demand Footprint;MaterialDemand (Lithium);Lithium (demand);('Material Demand Footprint', 'MaterialDemand (Lithium)', 'Lithium (demand)')
Material Demand Footprint;MaterialDemand (Magnesium);Magnesium (demand);('Material Demand Footprint', 'MaterialDemand (Magnesium)', 'Magnesium (demand)')
Material Demand Footprint;MaterialDemand (Natural gas);Natural gas (demand);('Material Demand Footprint', 'MaterialDemand (Natural gas)', 'Natural gas (demand)')
Material Demand Footprint;MaterialDemand (Nickel);Nickel (demand);('Material Demand Footprint', 'MaterialDemand (Nickel)', 'Nickel (demand)')
Material Demand Footprint;MaterialDemand (Palladium);Palladium (demand);('Material Demand Footprint', 'MaterialDemand (Palladium)', 'Palladium (demand)')
Material Demand Footprint;MaterialDemand (Petroleum);Petroleum (demand);('Material Demand Footprint', 'MaterialDemand (Petroleum)', 'Petroleum (demand)')
Material Demand Footprint;MaterialDemand (Phosphate rock);Phosphate rock (demand);('Material Demand Footprint', 'MaterialDemand (Phosphate rock)', 'Phosphate rock (demand)')
Material Demand Footprint;MaterialDemand (Platinum);Platinum (demand);('Material Demand Footprint', 'MaterialDemand (Platinum)', 'Platinum (demand)')
Material Demand Footprint;MaterialDemand (Rare earth);Rare earth (demand);('Material Demand Footprint', 'MaterialDemand (Rare earth)', 'Rare earth (demand)')
Material Demand Footprint;MaterialDemand (Rhodium);Rhodium (demand);('Material Demand Footprint', 'MaterialDemand (Rhodium)', 'Rhodium (demand)')
Material Demand Footprint;MaterialDemand (Sand);Sand (demand);('Material Demand Footprint', 'MaterialDemand (Sand)', 'Sand (demand)')
Material Demand Footprint;MaterialDemand (Scandium);Scandium (demand);('Material Demand Footprint', 'MaterialDemand (Scandium)', 'Scandium (demand)')
Material Demand Footprint;MaterialDemand (Silicon);Silicon (demand);('Material Demand Footprint', 'MaterialDemand (Silicon)', 'Silicon (demand)')
Material Demand Footprint;MaterialDemand (Silver);Silver (demand);('Material Demand Footprint', 'MaterialDemand (Silver)', 'Silver (demand)')
Material Demand Footprint;MaterialDemand (Strontium);Strontium (demand);('Material Demand Footprint', 'MaterialDemand (Strontium)', 'Strontium (demand)')
Material Demand Footprint;MaterialDemand (Tantalum);Tantalum (demand);('Material Demand Footprint', 'MaterialDemand (Tantalum)', 'Tantalum (demand)')
Material Demand Footprint;MaterialDemand (Tungsten);Tungsten (demand);('Material Demand Footprint', 'MaterialDemand (Tungsten)', 'Tungsten (demand)')
Material Demand Footprint;MaterialDemand (Vegetable oil);Vegetable oil (demand);('Material Demand Footprint', 'MaterialDemand (Vegetable oil)', 'Vegetable oil (demand)')
Material Demand Footprint;MaterialDemand (Water);Water (demand);('Material Demand Footprint', 'MaterialDemand (Water)', 'Water (demand)')
Material Demand Footprint;MaterialDemand (Zinc);Zinc (demand);('Material Demand Footprint', 'MaterialDemand (Zinc)', 'Zinc (demand)')
Waste Footprint;Waste Composting combined;Waste Composting Solid;('Waste Footprint', 'Waste Composting combined', 'Waste Composting Solid')
Waste Footprint;Waste Digestion combined;Waste Digestion Liquid;('Waste Footprint', 'Waste Digestion combined', 'Waste Digestion Liquid')
Waste Footprint;Waste Digestion combined;Waste Digestion Solid;('Waste Footprint', 'Waste Digestion combined', 'Waste Digestion Solid')
Waste Footprint;Waste Hazardous combined;Waste Hazardous Liquid;('Waste Footprint', 'Waste Hazardous combined', 'Waste Hazardous Liquid')
Waste Footprint;Waste Hazardous combined;Waste Hazardous Solid;('Waste Footprint', 'Waste Hazardous combined', 'Waste Hazardous Solid')
Waste Footprint;Waste Incineration combined;Waste Incineration Liquid;('Waste Footprint', 'Waste Incineration combined', 'Waste Incineration Liquid')
Waste Footprint;Waste Incineration combined;Waste Incineration Solid;('Waste Footprint', 'Waste Incineration combined', 'Waste Incineration Solid')
Waste Footprint;Waste Landfill combined;Waste Landfill Liquid;('Waste Footprint', 'Waste Landfill combined', 'Waste Landfill Liquid')
Waste Footprint;Waste Landfill combined;Waste Landfill Solid;('Waste Footprint', 'Waste Landfill combined', 'Waste Landfill Solid')
Waste Footprint;Waste Open-burning combined;Waste Open-burning Solid;('Waste Footprint', 'Waste Open-burning combined', 'Waste Open-burning Solid')
Waste Footprint;Waste Recycling combined;Waste Recycling Solid;('Waste Footprint', 'Waste Recycling combined', 'Waste Recycling Solid')
Waste Footprint;Waste Total combined;Waste Total Liquid;('Waste Footprint', 'Waste Total combined', 'Waste Total Liquid')
Waste Footprint;Waste Total combined;Waste Total Solid;('Waste Footprint', 'Waste Total combined', 'Waste Total Solid')
